sim|population|distance|rating|states|counties|wfos|hospitals|hospitalbeds|mobileparks|mobilehomes|psubstations|plines|slon|slat|elon|elat
171|48|0.933|1|MN|27015|MPX|0|0|0|0|0|0|-94.7155|44.1925|-94.7151|44.206
175|256|1.8087|1|MN|27145|MPX|0|0|0|0|0|0|-94.2572|45.6833|-94.2274|45.6992
175|304|6.6179|1|MN|27043|MPX|0|0|0|0|0|0|-93.9646|43.8134|-93.8371|43.8399
175|6000|0.49|1|MN|27147|MPX|0|0|0|0|1|1|-93.1603|44.0853|-93.1536|44.0906
175|48|1.837|0|MN|27173|MPX|0|0|0|0|0|0|-95.3594|44.7532|-95.3316|44.771
175|976|1.2053|0|MN|27079,27131|MPX|0|0|0|0|0|0|-94.5824|44.1641|-94.5661|44.177
175|176|0.3325|0|MN|27009|MPX|0|0|0|0|0|0|-93.7744|45.7933|-93.7698|45.7969
175|1248|8.1415|1|MN|27059|MPX|0|0|0|0|0|0|-95.6537|45.6557|-95.5112|45.7188
177|400|0.8164|0|MN|27145|MPX|0|0|0|0|0|0|-94.3136|45.4598|-94.302|45.4684
177|544|0.1447|0|MN|27145|MPX|0|0|1|125|0|0|-94.2553|45.513|-94.2525|45.5135
180|176|1.6304|1|MN|27023|MPX|0|0|0|0|0|0|-95.5939|44.9745|-95.5728|44.9928
180|1776|8.3276|1|MN|27019,27053|MPX|0|0|0|0|2|4|-93.7645|44.9497|-93.6582|45.0439
183|80|3.4444|0|MN|27129|MPX|0|0|0|0|0|0|-94.7646|44.6467|-94.7297|44.6899
183|560|6.5143|1|MN|27099|ARX|0|0|0|0|0|0|-92.671|43.7608|-92.5473|43.791
183|304|3.0049|0|MN|27145|MPX|0|0|0|0|0|0|-94.8968|45.4957|-94.8512|45.5252
183|16|8.986|1|IA|19189|DMX|0|0|0|0|0|0|-93.453|44.3662|-93.3108|44.4474
183|1392|1.9487|0|MN|27129|MPX|0|0|0|0|0|0|-95.1396|44.8284|-95.1055|44.843
183|768|8.8811|1|MN|27093|MPX|0|0|0|0|0|0|-94.5|45.0663|-94.353|45.1422
183|16|1.6257|0|MN|27151|MPX|0|0|0|0|0|0|-95.8866|45.4172|-95.8539|45.4223
183|400|0.6308|0|MN|27033|FSD|0|0|0|0|0|0|-95.1537|44.1129|-95.1456|44.12
183|16|0.1002|0|MN|27129|MPX|0|0|0|0|0|0|-94.8266|44.6709|-94.8254|44.672
183|27696|9.9647|2|MN|27053|MPX|0|0|0|0|0|0|-95.1462|43.7061|-95.002|43.8058
184|48|0.7153|1|MN|27081|FSD|0|0|0|0|0|0|-96.0676|44.5697|-96.0589|44.578
184|3728|0.551|0|MN|27079|MPX|0|0|0|0|0|0|-93.8278|44.4656|-93.8204|44.4715
184|69872|0.307|0|MN|27053|MPX|4|1626|0|0|8|17|-93.2955|44.9756|-93.2907|44.9785
184|432|0.6605|3|MN|27131|MPX|0|0|0|0|0|0|-93.2942|44.3892|-93.2847|44.3959
188|288|2.024|0|MN|27099|ARX|0|0|0|0|0|0|-92.6976|43.6898|-92.6672|43.7092
189|208|0.3659|0|MN|27145|MPX|0|0|0|0|0|0|-94.7459|45.7845|-94.7416|45.7889
190|2496|0.21|1|MN|27161|MPX|0|0|0|0|1|3|-93.4214|44.1366|-93.4178|44.1383
193|736|0.8048|0|MN|27091|MPX|0|0|0|0|0|0|-94.5582|43.7028|-94.5421|43.703
193|12384|2.579|0|MN|27037|MPX|0|0|0|0|0|0|-92.4942|45.264|-92.4418|45.2701
195|48|0.21|2|MN|27015|MPX|0|0|0|0|0|0|-94.7412|44.1718|-94.7378|44.1737
202|224|0.2732|0|MN,WI|27025,55095|DLH,MPX|0|0|0|0|0|0|-92.7233|45.6116|-92.718|45.6129
206|48|0.8397|0|MN|27165|MPX|0|0|0|0|0|0|-94.6858|44.0424|-94.6709|44.0481
206|544|0.499|0|MN|27103|MPX|0|0|1|25|0|0|-93.9309|44.4384|-93.924|44.4437
206|64|1.1988|1|MN|27097|DLH|0|0|0|0|0|0|-94.2971|46.1398|-94.2757|46.1489
206|64|0.3575|0|MN|27043|MPX|0|0|0|0|0|0|-93.7002|43.6629|-93.6951|43.6666
206|736|0.9233|0|WI|55093|MPX|0|0|0|0|0|0|-93.853|45.5855|-93.8403|45.5954
211|144|1.2617|0|MN|27171|MPX|0|0|0|0|1|2|-93.6883|45.2452|-93.6684|45.2569
212|176|5.627|0|MN|27173|MPX|0|0|0|0|0|0|-95.7023|44.722|-95.6134|44.7735
213|336|8.9859|1|MN|27091|MPX|0|0|0|0|0|0|-94.7306|43.8545|-94.5579|43.8921
213|2336|3.3103|1|MN|27015|MPX|0|0|0|0|0|0|-94.9502|44.2601|-94.9115|44.2992
213|48|0.4193|0|MN|27151|MPX|0|0|0|0|0|0|-95.577|45.402|-95.5768|45.4081
215|1264|0.8836|0|MN|27131|MPX|0|0|0|0|0|0|-93.4216|44.5006|-93.4074|44.5084
215|112|0.4787|0|MN|27145|MPX|0|0|0|0|0|0|-94.6698|45.5694|-94.6607|45.572
217|2592|2.5446|0|MN|27091|MPX|1|119|1|25|1|0|-94.4414|43.6501|-94.4188|43.6831
219|1712|1.8959|0|MN|27073|MPX|0|0|0|0|0|0|-96.013|44.9739|-95.9905|44.9962
220|1232|3.8266|2|MN|27141|MPX|0|0|0|0|0|0|-93.8746|45.5499|-93.8076|45.5794
220|27200|0.6835|0|MN|27037|MPX|0|0|0|0|2|6|-93.1792|44.7946|-93.1721|44.8031
221|176|0.5059|3|MN|27085|MPX|0|0|0|0|0|0|-94.3523|44.6506|-94.3436|44.6544
224|704|1.129|2|MN|27039|ARX|0|0|0|0|0|0|-92.6791|44.1415|-92.6609|44.1513
228|192|0.9218|3|MN|27165|MPX|0|0|0|0|0|0|-94.7737|44.1234|-94.7568|44.1289
232|48|1.2773|1|MN|27121|MPX|0|0|0|0|0|0|-95.2196|45.4739|-95.1969|45.4832
232|3392|0.2455|1|MN|27053|MPX|0|0|0|0|0|0|-93.4621|45.2547|-93.4586|45.2573
232|128|1.6564|0|MN|27047|ARX|0|0|0|0|0|0|-93.0187|43.8771|-92.9945|43.8936
233|224|17.3026|2|MN|27015,27033,27127|MPX|0|0|0|0|0|0|-95.1341|44.2202|-94.9384|44.4278
233|48|0.9187|0|IA|19063|MPX|0|0|0|0|0|0|-94.8658|43.5033|-94.8495|43.5095
234|384|1.5594|0|MN|27121|MPX|0|0|0|0|0|0|-95.2041|45.7511|-95.1718|45.7524
235|32|0.1535|0|MN|27033|FSD|0|0|0|0|0|0|-95.274|44.0019|-95.2733|44.0041
239|96|0.2659|1|MN|27093|MPX|0|0|0|0|0|0|-92.8221|44.877|-92.8169|44.8781
246|864|3.8897|2|MN|27037,27131|MPX|0|0|0|0|0|0|-93.0493|44.5006|-93.0035|44.5465
246|1664|1.1568|0|MN|27079,27131|MPX|0|0|0|0|1|1|-93.4496|44.5736|-93.4313|44.5841
246|112|2.0145|1|MN|27151|MPX|0|0|0|0|0|0|-95.7518|45.3103|-95.7144|45.3228
246|176|3.034|0|MN|27127|MPX|0|0|0|0|0|0|-95.1925|44.6232|-95.131|44.6272
246|144|0.216|0|MN|27047|MPX|0|0|0|0|0|0|-93.2332|43.737|-93.2296|43.7389
246|816|0.4012|0|MN|27091|MPX|0|0|0|0|0|0|-93.6609|44.6051|-93.653|44.6065
248|1216|0.0494|2|MN|27081|FSD|0|0|0|0|0|0|-96.029|44.3304|-96.0282|44.3308
248|432|0.005|1|WI|55095|MPX|0|0|0|0|0|0|-94.749|43.7808|-94.749|43.7808
249|2480|2.5829|1|MN|27171|MPX|0|0|2|50|0|0|-93.9377|45.0633|-93.8946|45.085
249|416|2.5324|1|MN|27013|MPX|0|0|0|0|0|0|-93.8287|44.1662|-93.7828|44.1824
249|432|0.1273|0|MN|27049|MPX|0|0|0|0|0|0|-92.2654|44.5775|-92.2629|44.5779
249|192|6.4629|1|MN|27091,27165|MPX|0|0|0|0|1|2|-94.4886|43.9097|-94.4333|43.9944
249|288|0.1888|0|MN|27171|MPX|0|0|0|0|0|0|-94.6569|44.0318|-94.6536|44.0332
254|2848|3.1564|3|MN|27109|ARX|0|0|1|25|0|0|-92.5291|44.1472|-92.4802|44.1764
257|15456|1.4053|0|MN|27053|MPX|0|0|0|0|1|0|-93.5087|45.0596|-93.4806|45.0638
259|416|1.8512|1|MN|27141|MPX|0|0|0|0|0|0|-93.9838|45.5425|-93.961|45.564
259|112|2.8284|0|MN|27151|MPX|0|0|0|0|0|0|-95.4704|45.3194|-95.4324|45.3504
263|736|2.8252|0|MN|27145|MPX|0|0|0|0|0|0|-94.4171|45.7021|-94.3614|45.7147
264|576|0.1142|0|MN|27059|MPX|0|0|0|0|0|0|-93.3423|45.4481|-93.3401|45.4487
267|32|0.3802|1|IA|19109|DMX|0|0|0|0|0|0|-93.9887|43.5678|-93.9822|43.5706
268|80|0.427|2|MN|27127,27129|MPX|0|0|0|0|0|0|-94.7362|44.815|-94.7286|44.818
268|416|5.9903|2|MN|27049|MPX|0|0|0|0|0|0|-92.7685|44.3867|-92.6995|44.458
268|592|1.3669|1|MN|27065|DLH,MPX|0|0|0|0|0|0|-93.1772|45.8494|-93.1504|45.856
271|80|0.6724|0|MN|27157|ARX|0|0|0|0|0|0|-92.2788|44.3963|-92.271|44.4043
271|1264|5.7336|1|MN|27153|MPX|0|0|0|0|0|0|-94.6528|45.877|-94.5966|45.9502
271|640|0.8938|0|MN|27063|FSD|0|0|0|0|0|0|-94.9867|43.6728|-94.977|43.6836
274|112|0.4622|0|MN|27101,27117|FSD|0|0|0|0|0|0|-96.0229|44.195|-96.0162|44.1997
276|384|3.4882|1|MN|27171|MPX|0|0|0|0|0|0|-94.094|45.0632|-94.0335|45.09
277|8960|3.8918|1|MN|27079|MPX|0|0|0|0|0|0|-94.8589|43.5165|-94.8172|43.5641
278|1040|2.6548|0|MN|27145|MPX|0|0|0|0|4|8|-94.3434|45.5596|-94.3148|45.5924
286|272|1.5086|1|MN|27121|MPX|0|0|0|0|0|0|-95.4424|45.707|-95.4175|45.7202
286|176|0.5542|0|MN|27049|MPX|1|852|0|0|2|3|-92.9131|44.4769|-92.9065|44.4834
288|288|0.5323|0|MN|27147|MPX|0|0|0|0|0|0|-93.1719|44.1929|-93.1667|44.1996
288|368|0.7354|0|MN|27131|MPX|0|0|0|0|0|0|-93.3637|44.3835|-93.3507|44.3886
290|64|0.2435|0|MN|27013|MPX|0|0|0|0|0|0|-94.2798|44.2147|-94.2759|44.2168
292|64|0.7143|1|MN|27129|MPX|0|0|0|0|0|0|-94.7404|44.5327|-94.7271|44.5369
