sim,population,hospitals,mobilehomes,psubstations
582,6608,1,150,6
583,38592,0,50,10
584,3328,0,0,1
585,55456,4,1275,22
586,2208,0,0,3
587,8704,0,0,8
588,3872,0,0,0
589,30224,1,125,13
590,22544,2,0,16
591,2640,0,0,4
592,2032,1,0,0
593,38384,0,125,14
594,3280,0,0,2
595,54768,0,300,11
596,11600,1,125,2
597,18656,1,0,14
598,24960,0,25,3
599,5440,0,25,7
600,72928,3,500,19
601,5376,0,0,6
602,74736,2,225,12
603,10960,0,175,15
604,12144,0,0,10
605,4768,0,0,3
606,51120,7,400,20
607,23152,1,50,7
608,7520,0,25,8
609,3072,0,75,10
610,58208,1,625,17
611,15856,1,175,5
612,18064,0,25,7
613,1120,0,0,1
614,10896,0,0,8
615,22800,1,875,15
616,12208,2,0,8
617,37376,4,175,18
618,2544,0,25,1
619,37104,1,125,13
620,120688,0,500,19
621,4624,0,0,4
622,54880,4,150,26
623,35424,0,325,10
624,38384,1,175,9
625,45296,3,175,18
626,8032,0,0,7
627,18992,0,0,12
628,9552,0,75,7
629,7440,1,25,3
630,14064,2,225,10
631,76576,1,200,25
632,71904,2,300,13
633,1408,3,375,4
634,6528,0,225,3
635,62992,2,150,18
636,22928,0,175,9
637,30416,0,0,4
638,121504,0,200,17
639,78944,2,475,17
640,21248,0,175,13
641,70656,3,800,23
642,2736,0,0,1
643,11824,0,0,12
644,2800,0,25,5
645,4176,0,0,5
646,32944,1,225,17
647,12016,0,0,9
648,5088,1,50,7
649,70240,0,450,14
650,4544,0,150,11
651,95792,7,300,34
652,3856,0,0,1
653,5040,0,0,6
654,9360,1,200,6
655,2032,0,0,9
656,75952,3,625,9
657,12736,0,125,11
658,106288,8,325,33
659,7520,2,25,4
660,61728,1,550,8
661,55424,2,150,14
662,39552,1,0,1
663,30272,2,300,26
664,4944,0,175,2
665,49968,2,125,21
666,42160,0,800,11
667,8384,1,0,3
668,47744,5,125,19
669,9488,1,125,13
670,4736,0,25,5
671,11376,1,50,4
672,63968,1,275,7
673,13136,3,175,9
674,2080,1,50,5
675,3616,0,0,4
676,9200,0,50,4
677,25456,0,25,12
678,22640,0,50,13
679,24336,0,175,12
680,14432,2,225,11
681,89648,5,850,27
682,3872,0,0,3
683,17888,2,0,12
684,46000,0,275,8
685,22080,1,250,16
686,72032,1,100,21
687,42176,1,250,9
688,35056,0,625,15
689,68464,1,1400,23
690,86400,3,0,16
691,57664,1,675,12
692,7264,1,25,6
693,51856,1,650,17
694,19664,0,25,13
695,4272,0,0,5
696,28208,1,0,11
697,7328,2,200,2
698,9952,0,0,3
699,10512,2,75,9
700,1392,0,0,0
701,97424,3,1350,28
702,20416,2,0,12
703,1248,1,50,4
704,3184,1,0,10
705,26960,1,375,13
706,10192,2,450,12
707,37680,1,175,13
708,960,0,0,3
709,12784,1,100,16
710,10128,1,50,9
711,82976,1,325,22
712,56128,0,25,7
713,9664,0,25,8
714,9888,4,375,12
715,29920,2,100,8
716,10592,1,0,12
717,52416,1,275,23
718,192,0,0,0
719,9376,3,0,9
720,7936,1,100,13
721,11232,0,200,11
722,19664,0,0,4
723,24864,0,50,8
724,66640,3,1025,28
725,14400,0,25,14
726,29216,0,75,5
727,11664,1,100,0
728,7088,0,0,4
729,18672,0,0,3
730,28768,2,225,5
731,4944,0,0,2
732,7984,2,150,7
733,51248,2,500,16
734,12672,1,0,8
735,47952,3,150,22
736,18272,1,125,10
737,28944,1,275,8
738,44560,0,225,11
739,102576,1,225,14
740,20464,1,150,25
741,36896,4,475,19
742,56768,3,100,16
743,3472,1,25,9
744,23312,0,75,21
745,6400,0,75,5
746,8688,0,0,7
747,8256,1,25,1
748,9168,0,25,3
749,3696,1,0,2
750,16656,3,200,16
751,52640,1,0,6
752,16080,2,0,10
753,7520,0,0,4
754,13488,1,50,14
755,22880,2,425,19
756,16736,0,125,29
757,5536,1,25,5
758,29584,0,0,6
759,6256,0,75,14
760,40992,1,175,13
761,5216,1,425,5
762,62048,4,1300,29
763,96560,2,150,10
764,38288,3,250,13
765,15216,1,0,9
766,18384,1,25,4
767,54448,1,75,8
768,146176,4,825,77
769,17696,1,25,16
770,58128,3,125,10
771,16912,1,0,5
772,38144,4,425,17
773,8768,0,0,3
774,61600,1,100,15
775,2928,0,0,5
776,42000,0,25,22
777,48432,3,175,18
778,29792,0,25,12
779,23472,1,0,2
780,19296,2,175,25
781,28336,0,25,14
782,44048,6,200,23
783,4928,2,0,6
784,37840,3,0,6
785,15760,0,225,7
786,8336,1,100,12
787,27184,3,75,21
788,1936,0,0,2
789,61904,1,150,19
790,85984,1,150,17
791,23968,0,25,11
792,8976,1,50,4
793,69344,6,600,27
794,30032,2,75,14
795,15968,0,0,13
796,25312,1,100,10
797,10784,1,125,5
798,9792,0,0,1
799,20400,1,175,6
800,126592,1,425,31
801,8688,0,150,15
802,26384,0,0,7
803,23248,0,225,25
804,7648,0,125,6
805,67424,0,0,14
806,19696,0,100,15
807,5616,0,25,5
808,6176,1,125,2
809,7232,0,275,4
810,24528,3,150,14
811,15072,0,400,17
812,9936,0,75,9
813,47984,4,525,16
814,9056,1,50,2
815,74432,3,250,20
816,12240,1,100,10
817,4608,1,0,1
818,8864,1,150,19
819,14496,0,75,17
820,15680,0,0,3
821,64304,5,175,32
822,16896,1,175,14
823,26464,1,475,9
824,47328,3,525,21
825,7456,0,0,6
826,7168,2,75,13
827,75200,0,700,31
828,2800,1,0,1
829,17376,1,175,18
830,2128,0,50,16
831,37632,1,100,7
832,9056,0,0,6
833,36928,1,275,23
